Date,Open,High,Low,Close,Adj Close,Volume
2017-10-31,1241.000000,1249.900024,1230.449951,1237.449951,1177.569458,722440
2017-11-01,1238.699951,1263.000000,1238.000000,1258.000000,1204.914673,1243886
2017-11-02,1261.000000,1261.050049,1238.050049,1241.500000,1189.110962,762274
2017-11-03,1245.000000,1245.000000,1232.000000,1239.500000,1187.195190,656886
2017-11-06,1239.000000,1249.500000,1234.949951,1240.599976,1188.248901,532305
2017-11-07,1235.099976,1252.199951,1226.349976,1234.199951,1182.119019,949224
2017-11-08,1240.349976,1247.900024,1228.599976,1235.300049,1183.172363,872203
2017-11-09,1249.500000,1286.050049,1241.199951,1252.900024,1200.029907,1417669
2017-11-10,1254.650024,1299.250000,1244.300049,1290.650024,1236.187012,1933002
2017-11-13,1295.000000,1315.000000,1269.250000,1279.500000,1225.507324,1413270
2017-11-14,1286.099976,1289.000000,1279.250000,1283.900024,1229.721680,1131348
2017-11-15,1283.900024,1285.000000,1258.550049,1265.000000,1211.619019,1195740
2017-11-16,1270.000000,1287.000000,1246.150024,1276.500000,1222.633789,911479
2017-11-17,1282.000000,1297.400024,1271.300049,1278.150024,1224.214478,1134503
2017-11-20,1280.000000,1281.150024,1266.150024,1274.500000,1220.718384,707096
2017-11-21,1275.000000,1285.000000,1272.000000,1277.349976,1223.447998,828746
2017-11-22,1275.000000,1277.000000,1263.650024,1270.449951,1216.839111,646368
2017-11-23,1275.000000,1276.000000,1262.000000,1267.500000,1214.013672,891839
2017-11-24,1269.400024,1270.000000,1253.000000,1265.949951,1212.529053,971523
2017-11-27,1261.000000,1266.900024,1250.550049,1260.300049,1207.117676,763155
2017-11-28,1263.000000,1272.949951,1262.400024,1267.849976,1214.348877,975006
2017-11-29,1267.849976,1281.099976,1263.500000,1276.150024,1222.298828,819468
2017-11-30,1273.000000,1276.150024,1258.000000,1272.449951,1218.755005,2308732
2017-12-01,1272.449951,1278.750000,1245.250000,1250.500000,1197.731201,470360
2017-12-04,1256.650024,1274.000000,1241.199951,1268.599976,1215.067261,833814
2017-12-05,1274.000000,1274.000000,1255.000000,1261.000000,1207.788086,862459
2017-12-06,1258.250000,1282.300049,1255.599976,1275.599976,1221.771973,1516859
2017-12-07,1277.199951,1298.849976,1272.050049,1291.949951,1237.432007,1407824
2017-12-08,1296.400024,1331.000000,1291.300049,1326.650024,1270.667603,1267860
2017-12-11,1329.000000,1329.000000,1311.650024,1324.050049,1268.177368,597953
2017-12-12,1319.099976,1324.000000,1308.650024,1314.650024,1259.174194,873443
2017-12-13,1319.400024,1337.000000,1306.199951,1315.050049,1259.557251,917877
2017-12-14,1314.000000,1326.849976,1304.250000,1321.599976,1265.830811,834383
2017-12-15,1328.300049,1335.000000,1310.599976,1324.550049,1268.656372,1420357
2017-12-18,1320.000000,1345.000000,1300.949951,1331.750000,1275.552368,918171
2017-12-19,1333.099976,1352.000000,1326.500000,1349.699951,1292.745117,1227087
2017-12-20,1346.199951,1367.949951,1333.500000,1362.650024,1305.148560,1198943
2017-12-21,1365.000000,1365.150024,1345.099976,1348.449951,1291.547607,557871
2017-12-22,1341.300049,1359.500000,1341.300049,1356.500000,1299.257935,561400
2017-12-26,1350.400024,1353.900024,1340.000000,1348.099976,1291.212280,913529
2017-12-27,1350.800049,1364.000000,1342.650024,1352.449951,1295.378906,569851
2017-12-28,1358.000000,1382.800049,1348.800049,1354.500000,1297.342651,2608574
2017-12-29,1359.000000,1374.900024,1350.000000,1367.849976,1310.129150,799006
2018-01-01,1367.000000,1367.000000,1340.050049,1344.500000,1287.764526,746852
2018-01-02,1345.000000,1349.800049,1328.550049,1338.599976,1282.113525,695988
2018-01-03,1344.699951,1356.800049,1335.000000,1350.349976,1293.367432,832810
2018-01-04,1350.099976,1356.150024,1341.449951,1352.250000,1295.187378,640189
2018-01-05,1351.000000,1362.949951,1348.250000,1356.550049,1299.306152,568451
2018-01-08,1348.599976,1371.000000,1348.599976,1368.400024,1310.656128,801796
2018-01-09,1374.000000,1375.900024,1356.000000,1361.300049,1303.855469,708386
2018-01-10,1361.349976,1370.000000,1355.000000,1365.800049,1308.165771,939525
2018-01-11,1357.000000,1382.900024,1357.000000,1378.650024,1320.473267,629248
2018-01-12,1380.800049,1384.400024,1357.000000,1374.000000,1316.019531,872539
2018-01-15,1375.599976,1375.599976,1364.000000,1367.199951,1309.506592,1324592
2018-01-16,1369.300049,1389.500000,1363.750000,1382.000000,1323.682129,896453
2018-01-17,1389.000000,1391.000000,1366.250000,1371.199951,1313.337769,1409691
2018-01-18,1400.000000,1406.900024,1350.599976,1356.949951,1299.689087,2465412
2018-01-19,1370.400024,1372.849976,1350.050049,1362.449951,1304.956909,1491194
2018-01-22,1363.000000,1365.000000,1346.449951,1355.099976,1297.917236,1014403
2018-01-23,1360.699951,1372.349976,1350.050049,1368.349976,1310.608032,1284895
2018-01-24,1368.000000,1372.000000,1335.050049,1365.900024,1308.261353,1819330
2018-01-25,1368.900024,1378.000000,1359.550049,1372.750000,1314.822388,2125894
2018-01-29,1370.000000,1400.000000,1367.199951,1397.300049,1338.336426,1406390
2018-01-30,1397.300049,1410.000000,1390.099976,1400.250000,1341.161865,1310365
2018-01-31,1400.000000,1400.000000,1362.599976,1369.349976,1311.565674,1491912
2018-02-01,1373.000000,1384.800049,1351.000000,1371.250000,1313.385498,1563429
2018-02-02,1352.000000,1377.900024,1352.000000,1372.199951,1314.295532,1699619
2018-02-05,1352.099976,1361.449951,1341.250000,1355.750000,1298.539795,1585136
2018-02-06,1300.000000,1348.500000,1299.000000,1325.349976,1269.422729,1540401
2018-02-07,1322.000000,1330.000000,1307.050049,1312.650024,1257.258545,1561287
2018-02-08,1325.699951,1337.550049,1305.250000,1329.550049,1273.445435,1146084
2018-02-09,1319.000000,1340.000000,1311.800049,1333.050049,1276.797607,810004
2018-02-12,1340.000000,1349.900024,1333.150024,1344.449951,1287.716553,1166428
2018-02-14,1349.800049,1353.199951,1332.000000,1349.400024,1292.457764,857401
2018-02-15,1353.000000,1364.449951,1338.750000,1358.150024,1300.838379,844856
2018-02-16,1364.000000,1364.000000,1348.000000,1352.099976,1295.043701,1091144
2018-02-19,1359.000000,1359.000000,1328.800049,1335.900024,1279.527466,495950
2018-02-20,1332.150024,1343.349976,1327.849976,1331.800049,1275.600342,688130
2018-02-21,1339.000000,1339.000000,1323.000000,1330.599976,1274.450928,1406451
2018-02-22,1330.099976,1333.800049,1313.250000,1326.449951,1270.476074,2173259
2018-02-23,1326.500000,1331.599976,1320.199951,1323.150024,1267.315430,896708
2018-02-26,1316.250000,1338.400024,1316.250000,1333.300049,1277.037231,1109668
2018-02-27,1340.000000,1352.500000,1334.099976,1346.349976,1289.536499,1316559
2018-02-28,1338.400024,1338.500000,1311.000000,1317.750000,1262.143311,1862621
2018-03-01,1320.000000,1329.000000,1314.250000,1324.250000,1268.368896,961945
